time,v_est,CdA_est,accel_bias,power_pred,acceleration_measured,velocity_measured,power_measured
2025-06-01 15:47:05.154,5.6143798828125,0.26485443115234375,1.894500732421875,248.546875,1.9323938867023704,6.708888888888889,77
2025-06-01 15:47:05.164,5.614501953125,0.2648506164550781,1.894378662109375,248.546875,1.9384056082036691,6.708888888888889,77
2025-06-01 15:47:05.174,5.6146240234375,0.26483917236328125,1.894195556640625,248.546875,1.94485897636427,6.708888888888889,77
2025-06-01 15:47:05.184,5.614990234375,0.2648200988769531,1.894134521484375,248.546875,1.951747947404894,6.708888888888889,77
2025-06-01 15:47:05.195,5.615478515625,0.2647857666015625,1.894012451171875,248.546875,1.959064619185988,6.708888888888889,77
2025-06-01 15:47:05.204,5.6162109375,0.2647743225097656,1.894012451171875,248.546875,1.9667990867047545,6.708888888888889,77
2025-06-01 15:47:05.214,5.6162109375,0.2647361755371094,1.894012451171875,248.546875,1.9749393707557945,6.708888888888889,77
2025-06-01 15:47:05.224,5.6165771484375,0.2647285461425781,1.89404296875,248.546875,1.9834714176011623,6.708888888888889,77
2025-06-01 15:47:05.234,5.6170654296875,0.26473236083984375,1.893951416015625,248.546875,1.9923791338217132,6.708888888888889,77
2025-06-01 15:47:05.245,5.617919921875,0.26470184326171875,1.89373779296875,248.546875,2.001644426261712,6.708888888888889,77
2025-06-01 15:47:05.254,5.6187744140625,0.2646827697753906,1.893646240234375,248.546875,2.01124724033807,6.708888888888889,77
2025-06-01 15:47:05.264,5.619873046875,0.2646484375,1.893524169921875,248.546875,2.021165605098359,6.708888888888889,77
2025-06-01 15:47:05.274,5.62060546875,0.2646331787109375,1.89337158203125,248.546875,2.031375698220579,6.708888888888889,77
2025-06-01 15:47:05.284,5.62158203125,0.2646217346191406,1.893463134765625,248.546875,2.0418519505503667,6.708888888888889,77
2025-06-01 15:47:05.295,5.623291015625,0.2646064758300781,1.8934326171875,248.546875,2.0525672118113123,6.708888888888889,77
2025-06-01 15:47:05.304,5.6251220703125,0.2645683288574219,1.893280029296875,248.546875,2.063492974907085,6.708888888888889,77
2025-06-01 15:47:05.314,5.6270751953125,0.264556884765625,1.893096923828125,248.546875,2.0745996154251154,6.708888888888889,77
2025-06-01 15:47:05.324,5.6290283203125,0.2645225524902344,1.892852783203125,248.546875,2.0858566081704493,6.708888888888889,77
2025-06-01 15:47:05.334,5.6307373046875,0.264495849609375,1.892730712890625,248.546875,2.097232731435005,6.708888888888889,77
2025-06-01 15:47:05.345,5.63330078125,0.2644767761230469,1.892822265625,248.546875,2.108696283060918,6.708888888888889,77
2025-06-01 15:47:05.354,5.6356201171875,0.26444244384765625,1.89263916015625,248.546875,2.120215306189124,6.708888888888889,77
2025-06-01 15:47:05.364,5.637939453125,0.2644309997558594,1.892486572265625,248.546875,2.131757795177545,6.708888888888889,77
2025-06-01 15:47:05.374,5.6402587890625,0.26441192626953125,1.89215087890625,248.546875,2.1432918422798672,6.708888888888889,77
2025-06-01 15:47:05.384,5.6431884765625,0.2644195556640625,1.89190673828125,248.546875,2.1547857279481937,6.708888888888889,77
2025-06-01 15:47:05.395,5.645751953125,0.2644081115722656,1.891876220703125,248.546875,2.1662080111614,6.708888888888889,77
2025-06-01 15:47:05.404,5.6480712890625,0.26438140869140625,1.891815185546875,248.546875,2.1775276625152498,6.708888888888889,77
2025-06-01 15:47:05.414,5.6510009765625,0.26436614990234375,1.891632080078125,248.546875,2.18871424683772,6.708888888888889,77
2025-06-01 15:47:05.423,5.6536865234375,0.2643470764160156,1.89166259765625,248.546875,2.1997381583393403,6.708888888888889,77
2025-06-01 15:47:05.434,5.6566162109375,0.264312744140625,1.89141845703125,248.546875,2.210570898808901,6.708888888888889,77
2025-06-01 15:47:05.445,5.659423828125,0.2643013000488281,1.8912353515625,248.546875,2.221185355740579,6.708888888888889,77
2025-06-01 15:47:05.454,5.662353515625,0.2642974853515625,1.891204833984375,248.546875,2.231556024734528,6.708888888888889,77
2025-06-01 15:47:05.464,5.66552734375,0.2642631530761719,1.891143798828125,248.546875,2.241659139993701,6.708888888888889,77
2025-06-01 15:47:05.474,5.6689453125,0.2642478942871094,1.890838623046875,248.546875,2.2514727120205498,6.708888888888889,77
2025-06-01 15:47:05.484,5.672607421875,0.2642097473144531,1.890869140625,248.546875,2.2609765118832725,6.708888888888889,77
2025-06-01 15:47:05.495,5.676025390625,0.2641792297363281,1.89080810546875,248.546875,2.2701520563924324,6.708888888888889,77
