time,WindAD,Wind (m/s),Speed,X (m/s^2),Y (m/s^2),Z (m/s^2),G (m/s^2),meta_stance,meta_speed_mph,meta_direction,position_lat,position_long,heart_rate,cadence,distance,power,enhanced_speed,enhanced_altitude
2025-05-11T11:04:38.000000,390,1.6406368,5.993829,-8.757387000000001,2.02948299,4.11658992,9.88721451,up,13,EW,38.5395791,-121.7824905,135,82,335.87,72,6.065,17.2
2025-05-11T11:04:39.000000,389,1.5959328,6.051287,-8.94615102,2.63721249,4.01989275,10.156175280000001,up,13,EW,38.5395802,-121.7825625,135,83,342.01,64,6.14,17.2
2025-05-11T11:04:40.000000,406,2.4497792,6.142144,-9.39177027,3.1525906500000005,6.936572520000001,12.09380724,up,13,EW,38.5395821,-121.7826348,135,84,348.21,62,6.196111111111112,17.2
2025-05-11T11:04:41.000000,398,2.0161504,6.231635,-8.34334614,1.77425622,5.13103221,9.954246240000002,up,13,EW,38.5395843,-121.7827087,135,85,354.42,64,6.2138888888888895,17.2
2025-05-11T11:04:42.000000,394,1.8194528,6.181201,-9.01245681,2.15431524,4.5321219,10.3153131,up,13,EW,38.5395857,-121.7827788,136,84,360.62,59,6.196111111111112,17.0
2025-05-11T11:04:43.000000,385,1.430528,6.181156,-9.290432970000001,1.0741655700000001,2.2540142700000003,9.62010783,up,13,EW,38.5395869,-121.7828494,136,84,366.81,59,6.196111111111112,17.0
2025-05-11T11:04:44.000000,382,1.3142976,6.127949,-8.586143640000001,2.73495933,4.3436718,10.00346301,up,13,EW,38.5395869,-121.782918,136,84,372.93,73,6.121111111111111,17.0
2025-05-11T11:04:45.000000,395,1.8686272,6.085853,-10.42042725,0.87762222,7.5320395200000005,12.88748529,up,13,EW,38.5395874,-121.7829863,136,84,379.01,86,6.08388888888889,17.0
2025-05-11T11:04:46.000000,383,1.3500608,6.076336,-9.32351229,-1.31965101,6.396502590000001,11.383524000000001,up,13,EW,38.5395885,-121.7830562,136,83,385.09,72,6.073888888888889,17.2
2025-05-11T11:04:47.000000,375,1.0684256,6.023403,-9.34027758,2.57748921,4.929848730000001,10.871412570000002,up,13,EW,38.5395903,-121.7831252,136,83,391.12,82,6.036944444444445,17.2
2025-05-11T11:04:48.000000,382,1.3142976,6.017082,-11.84965596,2.41732134,5.525757179999999,13.29630723,up,13,EW,38.5395923,-121.7831943,137,82,397.13,78,6.008888888888889,17.2
2025-05-11T11:04:49.000000,387,1.5109952,6.023362,-8.46100728,-0.8147597400000001,3.83427774,9.32491512,up,13,EW,38.5395921,-121.7832636,137,83,403.17,60,6.028055555555556,17.4
2025-05-11T11:04:50.000000,390,1.6406368,6.052411,-3.98950137,-0.33231375,1.09631655,4.15071891,up,13,EW,38.5395915,-121.783332,136,82,409.2,54,6.036944444444445,17.4
2025-05-11T11:04:51.000000,385,1.430528,5.992942,-10.55710017,0.7857123300000001,4.91233788,11.670505740000001,up,13,EW,38.5395916,-121.7834007,136,82,415.17,57,5.9719444444444445,17.4
2025-05-11T11:04:52.000000,382,1.3142976,5.902227,-8.554261140000001,-0.8101196100000001,4.1384466,9.53721333,up,13,EW,38.5395926,-121.7834693,136,81,421.08,66,5.9061111111111115,17.4
2025-05-11T11:04:53.000000,384,1.3902944,5.938814,-8.924294340000001,-0.67329954,3.61154169,9.6508818,up,13,EW,38.5395957,-121.7835375,136,81,426.98,57,5.9061111111111115,17.4
2025-05-11T11:04:54.000000,376,1.1041888,5.890275,-10.830279240000001,1.03389552,4.89062835,11.928204630000002,up,13,EW,38.5395981,-121.7836052,136,81,432.88,76,5.896944444444444,17.4
2025-05-11T11:04:55.000000,383,1.3500608,5.896832,-10.51773264,2.21838435,4.56925275,11.679982200000001,up,13,EW,38.5395984,-121.7836716,136,81,438.81,54,5.933888888888888,17.4
2025-05-11T11:04:56.000000,390,1.6406368,5.939394,-9.87301944,0.39084021,3.1630677300000003,10.374693030000001,up,13,EW,38.5395993,-121.7837385,137,81,444.75,55,5.933888888888888,17.6
2025-05-11T11:04:57.000000,389,1.5959328,5.965398,-12.75467751,1.9723005000000002,4.8020146200000005,13.77065997,up,13,EW,38.5396007,-121.7838073,137,81,450.68,60,5.925,17.6
2025-05-11T11:04:58.000000,383,1.3500608,5.916752,-12.65903001,2.23065666,6.202205730000001,14.272147170000002,up,13,EW,38.5396008,-121.7838737,137,81,456.6,64,5.925,17.6
2025-05-11T11:04:59.000000,386,1.4707616,5.947085,-7.7983319700000004,-1.56948228,3.1439088,8.55344691,up,13,EW,38.5396008,-121.7839416,136,81,462.53,55,5.925,17.6
2025-05-11T11:05:00.000000,395,1.8686272,5.875103,-8.84166471,0.64201545,4.690945800000001,10.02956742,up,13,EW,38.5396004,-121.7840088,135,80,468.4,54,5.868888888888889,17.6
