alpha,beta,kappa,Q_v,Q_CdA,Q_bias,R_crank,x0_v,x0_CdA,x0_bias,rmse_velocity
0.04000482806293237,1.99,0.0,0.3,0.01,1.0979439763717755,727.8168944697114,2.501111111111111,0.1,0.8157276025336456,1.6765317928111054
0.00015632469747915877,1.9949854385497476,0.9722310561373948,0.3111736699706921,0.08442193951392594,1.4782021013962028,767.6432966535394,2.5009193076860052,0.12902217276718606,1.7199962914418179,1.67653368917074
0.002455546412261209,2.004778226634532,0.4967693757007188,0.3073936931247161,0.19428074281634866,1.389882070803302,784.545167827379,2.496786699444283,0.11282233134559802,1.84026098472082,1.6782263210309927
0.06817935007802461,1.9901399418384063,0.509651329487247,0.34568705709609543,0.012404520082603827,1.228140008489835,767.4872293050781,2.4820631071693997,0.10125723345119894,1.057751374673383,1.679690218777995
0.00047782620040548045,2.003859653776422,0.9787624299412284,0.36012198538413065,0.018259079640760137,1.0568589475655086,852.0572263716737,2.496198690510611,0.10638130003018745,1.9599485143310782,1.6797228240477775
0.024054961902494197,1.9901673477447244,0.004250158778255298,0.305514073523041,0.10063280785728099,1.3185847450216985,826.0532593885283,2.495385568585089,0.10011604053814707,0.4426793518902826,1.6803170883531606
0.0001,1.99,0.09189724651939767,0.3,0.01,0.9710406896809942,900.0,2.501111111111111,0.1,2.0,1.6804908292208116
0.03764535846857772,2.0053059181355293,0.09108988429564764,0.30260361311134404,0.01980783787576645,1.4990962931288059,760.4904532539772,2.4970589851651956,0.10397507264800124,0.308912120430045,1.6809857582628351
0.0015449978389806074,2.007037831924764,0.06676251107254962,0.32146484514568713,0.069152952064068,1.4166895354853382,767.0172915588167,2.488842885528534,0.10728803932890121,0.6390100147340853,1.6812149424191793
0.02525447348088132,2.006182230263471,0.568223563435541,0.30972023474459326,0.10994227220051916,1.183946324820023,643.1090806718026,2.4913212705714076,0.10387053288806797,1.0403325254424838,1.6830848936942018
0.07820907100202473,1.9980580075722314,0.5502525331852293,0.306557291979454,0.0737703166426726,0.9625866523143166,643.9542594969972,2.4878572246267296,0.10043644400086846,1.3856445788123908,1.6835913201787636
0.00509363729895779,2.0076196674986884,0.9678431955974633,0.30613285455090505,0.13783058833179254,1.2206755900085822,545.7795100950311,2.498043871460415,0.10333641965567544,1.9724459106693057,1.6848922486584963
0.00016602805710052966,2.0056376226504207,0.8609486113212463,0.3075279966367084,0.19559681933742062,1.4128710057346756,611.699854778919,2.4998407681336396,0.10035038681912875,1.8411136876851428,1.6849525958382552
